#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2020-01-21 10:48:19.380
#Sample rate: 1333.33Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1 V
#Channel 2: Range: 500 mV/div Offset: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.94575000000000009,0.42866324169087133,-0.22800861481605583
-0.94500000000000006,0.45243307105296493,-0.19161199259575623
-0.94425000000000003,0.48346590383125387,-0.14959043785050152
-0.94350000000000001,0.49634122806905445,-0.12312016714482921
-0.94274999999999998,0.48676726902043344,-0.12047314007426202
-0.94200000000000006,0.48511658642584377,-0.10922327502435092
-0.94125000000000003,0.46530839529076573,-0.11550996431694838
-0.94050000000000011,0.41512764441523453,-0.15256834330488944
-0.93975000000000009,0.37881262733425825,-0.17705334370763648
-0.93900000000000006,0.33358392424249672,-0.21080293885736889
-0.93825000000000003,0.30189081842637178,-0.2309865202704442
-0.9375,0.28637440203722742,-0.23462618249247402
-0.93674999999999997,0.26227443615621571,-0.24620692592620586
-0.93600000000000005,0.24147583546438378,-0.25646415582465387
-0.93525000000000003,0.23223201293468088,-0.25480976390554932
-0.93450000000000011,0.21539505046986451,-0.26275084511725089
-0.93375000000000008,0.18238139857806779,-0.28657408875235602
-0.93300000000000005,0.17941016990780612,-0.28061827784357973
-0.93225000000000002,0.18634303680508335,-0.26506699380399734
-0.93149999999999999,0.18634303680508335,-0.25811854774375842
-0.93075000000000008,0.19888822452396604,-0.24025111501742957
-0.93000000000000005,0.22529914603740342,-0.20782503340298053
-0.92925000000000013,0.21836627914012618,-0.21113381724118963
-0.9285000000000001,0.22265805388605964,-0.20451624956477188
-0.92775000000000007,0.22331832692389564,-0.20253097926184616
-0.92700000000000005,0.22265805388605964,-0.20319273602948806
-0.92625000000000002,0.28934563070748909,-0.13834057280059087
-0.92549999999999999,0.32863187645872727,-0.10062043704500745
-0.92475000000000007,0.36494689353970355,-0.067201720279096211
-0.92400000000000004,0.39862081846933628,-0.038746179270498615
-0.92325000000000013,0.42140023827467599,-0.020547868160348592
-0.9225000000000001,0.42668242257736355,-0.019555233008885953
-0.92175000000000007,0.40951532359362908,-0.04304759826017035
-0.92100000000000004,0.37584139866399657,-0.083745639470141242
-0.92025000000000001,0.35636334404783643,-0.10955415340817209
-0.91949999999999998,0.33523460683708661,-0.13635530249766514
-0.91875000000000007,0.30981409488040312,-0.16811962734447228
-0.91800000000000004,0.29066617678316087,-0.19326638451486078
-0.91725000000000012,0.28340317336696574,-0.20716327663533907
-0.91650000000000009,0.24114569894546589,-0.25745679097611651
-0.91575000000000006,0.23586351464277833,-0.27003016956131098
-0.91500000000000004,0.23388269552927055,-0.27995652107593783
-0.91425000000000001,0.23256214945359877,-0.28822848067146056
-0.91349999999999998,0.21968682521579797,-0.30741942693307323
-0.91275000000000006,0.22067723477255186,-0.31205172430656569
-0.91200000000000003,0.23520324160494255,-0.30411064309486413
-0.91125000000000012,0.24543747369139957,-0.3004709808728343
-0.91050000000000009,0.2652456648264776,-0.28657408875235602
